DT,Quote,MarketCap,LastPrice,PE,DY,ROE,Open,Low,High,Chg,ChgPct,Volume,BidPrice,BidVolume,AskPrice,AskVolume,MYRCNY_PerUnit,MYRSGD_PerUnit,MYRUSD_PerUnit,DJI_LastPrice,IXIC_LastPrice,DJI_Change,IXIC_Change,DJI_ChgPct,IXIC_ChgPct,DJI_ChgVolume,IXIC_ChgVolume,CLF_LastPrice,GCF_LastPrice,ZGF_LastPrice,CLF_Change,GCF_Change,ZGF_Change,CLF_ChgPct,GCF_ChgPct,ZGF_ChgPct,CLF_Volume,GCF_Volume,ZGF_Volume,Polarity,Spread,SMA3,WD_Friday,WD_Monday,WD_Thursday,WD_Tuesday,WD_Wednesday,UP
2019-04-12,AIRPORT,11316.0,6.82,15.56,1.91,7.96,6.65,6.64,6.9,0.21,3.177004538577921,109453,6.82,118,6.85,339,0.6138528865,3.041826472,4.1155531259,26143.05,7947.36,-14.11,-16.88,-0.05,-0.21,210.796,1808.0,64.5,1295.3,1309.9,0.92,2.0,21.3,1.45,0.15,1.65,180575.0,101767.0,0.0,0.2592,0.2600000000000007,6.7266666666666675,1,0,0,0,0,True
2019-04-15,AIRPORT,11448.0,6.9,15.74,1.88,7.96,6.88,6.82,6.93,0.08,1.1730205278592365,40192,6.9,123,6.91,72,0.6134004609,3.0425270834,4.1147933062,26412.3,7984.16,269.2,36.8,1.03,0.46,369.908,1791.0,63.39,1286.8,1309.9,-0.5,-8.4,19.3,-0.78,-0.65,1.5,151490.0,121674.0,0.0,0.2023,0.10999999999999943,6.776666666666668,0,1,0,0,0,False
2019-04-16,AIRPORT,11200.0,6.75,15.4,1.93,7.96,6.9,6.74,6.91,-0.15,-2.1739130434782705,30879,6.74,259,6.75,5,0.6153762981,3.0500761518,4.1304003074,26384.77,7976.01,-27.53,-8.15,-0.1,-0.1,250.622,1672.0,63.65,1282.9,1309.9,0.25,-8.4,23.1,0.39,-0.65,1.8,154963.0,128250.0,1.0,0.3818,0.16999999999999993,6.823333333333335,0,0,0,1,0,True
2019-04-17,AIRPORT,11299.0,6.81,15.54,1.91,7.96,6.75,6.7,6.84,0.06,0.8888888888888724,23925,6.79,73,6.81,1375,0.6183668499,3.0568317715,4.1358373536,26384.77,7976.01,-27.53,-8.15,-0.1,-0.1,250.622,1672.0,64.43,1278.3,1276.9,0.38,1.1,-0.3,0.59,0.09,-0.02,61593.0,116017.0,0.0,0.3500666666666667,0.13999999999999968,6.820000000000001,0,0,0,0,1,False
2019-04-18,AIRPORT,11283.0,6.8,15.51,1.91,7.96,6.75,6.75,6.83,-0.01,-0.1468428781204123,35519,6.78,397,6.8,5,0.6196186086,3.0654146961,4.1570396897,26449.54,7996.08,-3.12,-4.15,-0.01,-0.05,367.776,2116.0,63.99,1276.2,1309.9,0.23,-0.6,37.7,0.36,-0.05,2.96,32622.0,129327.0,0.0,0.3500666666666667,0.08000000000000007,6.786666666666669,0,0,1,0,0,False
2019-04-19,AIRPORT,11233.0,6.77,15.45,1.92,7.96,6.8,6.76,6.8,-0.03,-0.4411764705882337,20797,6.76,23,6.77,143,0.6178393881,3.0567628093,4.1432012673,26449.54,7996.08,-3.12,-4.15,-0.01,-0.05,367.776,2116.0,64.0,1277.9,1276.9,0.0,1.9,0.9,0.0,0.15,0.07,114864.0,219695.0,0.0,-0.6808,0.040000000000000036,6.793333333333336,1,0,0,0,0,True
2019-04-22,AIRPORT,11797.0,7.11,16.22,1.83,7.96,6.78,6.77,7.14,0.34,5.0221565731167095,54483,7.08,30,7.11,7,0.616751258,3.0494159453,4.1363880704,26559.54,7998.06,110.04,1.98,0.42,0.02,332.851,1890.0,65.39,1279.1,1276.9,1.39,3.1,0.9,2.17,0.24,0.07,4483.0,70618.0,0.0,-0.296,0.3700000000000001,6.893333333333335,0,1,0,0,0,True
2019-04-23,AIRPORT,12278.0,7.4,16.88,1.76,7.96,7.16,7.08,7.43,0.29,4.078762306610417,22072,7.4,6727,7.42,65,0.613492731,3.0376376997,4.1256337973,26511.05,8015.27,-48.49,17.21,-0.18,0.22,232.571,1632.0,65.64,1270.4,1276.9,0.09,-7.2,-0.7,0.14,-0.56,-0.05,198287.0,113801.0,0.0,0.0,0.34999999999999964,7.093333333333335,0,0,0,1,0,False
2019-04-24,AIRPORT,12278.0,7.4,16.88,1.76,7.96,7.41,7.3,7.45,0.0,0.0,39738,7.4,12042,7.41,10,0.613492731,3.0376376997,4.1256337973,26656.39,8120.82,145.34,105.56,0.55,1.32,311.691,1909.0,66.34,1274.6,1276.9,0.04,1.4,3.7,0.06,0.11,0.29,177714.0,99941.0,0.0,0.0,0.15000000000000036,7.3033333333333355,0,0,0,0,1,True
2019-04-25,AIRPORT,12311.0,7.42,16.93,1.75,7.96,7.42,7.35,7.42,0.02,0.2702702702702675,15026,7.39,4635,7.42,137,0.613492731,3.0376376997,4.1256337973,26597.05,8102.01,-59.34,-18.81,-0.22,-0.23,283.374,1863.0,66.05,1279.0,1276.9,0.16,-0.4,-2.5,0.24,-0.03,-0.2,178062.0,96689.0,0.0,0.0,0.07000000000000028,7.406666666666669,0,0,1,0,0,True
